product_id,image
1328909,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/9D/81/05dadc05-f8fe-4add-9b07-ec79de7c31c0.jpg
1230222,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/43/22/d62472f4-9257-47e5-bcfa-8ff88697ce8c.jpg
1518026,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/AC/2B/759ffb68-f7bd-482f-9da6-738d8469b4a6.jpg
1358455,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/22/EE/1be3db18-65d0-4092-85fc-6b3c80af58e6.jpg
1491161,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/38/21/07459c9c-7717-4410-8117-94743b7b76d2.jpg
1292514,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/34/C0/96f62a17-687a-451b-a6f0-ee5c13bd9840.jpg
1171307,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/6C/79/8f6bc5f9-c654-40a8-bdbe-6ea69c670560.jpg
1171308,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/17/AD/1ce6859e-b8bd-476b-b7ae-3c7dff40669d.jpg
1455453,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/8A/C2/0cc40f60-9313-4ece-92bd-f9a0a8fac8b2.jpg
1453018,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/95/F0/c5792e73-f068-4a7d-a2cd-564ad17e6855.jpg
1393063,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/E6/01/0ea7f28f-ba65-4767-aeba-9ac0debcd847.jpg
1397529,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/16/89/00c9d89c-b9ba-4941-8f00-ee398886d9d7.jpg
1435880,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F7/36/17efb678-836f-49f8-8040-aba2539cb0e1.jpg
1556540,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/A7/3A/ba464c25-b14b-441d-8761-3a68c18bff06.jpg
1330646,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/D1/ED/7be0a281-a2c3-40f9-8631-3a01c5a36e81.jpg
1165663,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/BA/6F/db5654ba-3ae1-40e6-9f54-c099e69d142e.jpg
1334383,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/94/2D/469697bb-04ba-4f6a-80e0-c73d7a5cc443.jpg
1367064,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F5/D4/033575ed-40bb-43ce-a2d3-85eb821ba929.jpg
1468925,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/5C/21/4a1debd9-6721-4104-a939-f22a3234ad6b.jpg
1546370,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/C3/70/0b9f5b54-da6b-4df3-81e7-07ebc921a663.jpg
1266870,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/90/32/d97e5e1a-6ed0-4d6f-817e-252f725b2ecc.jpg
1256236,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/4A/F6/4b0d961a-805b-4ca6-adc9-62288691d724.JPG
1176156,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/9C/1B/739c1517-adc2-4b6b-8201-91affe045810.jpg
1075010,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/E0/B4/65db568f-f59f-4cf8-b844-27e79bd38955.jpg
1407421,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/7F/29/e8fcc282-8c7a-4f0f-803f-4226daf34296.jpg
1138908,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/BA/8D/f3fbd82e-d429-4705-bead-62ea2f24914e.jpg
1311948,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/B9/D3/1dc06871-fd17-4cec-8921-bbd5721ec43b.jpg
1587154,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/7A/0E/d7f5226a-eb9f-4e01-a43d-599d454ba2f7.jpg
1407801,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/9D/7A/382f9885-bdac-46df-96a7-038e72441b62.jpg
1266810,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/3C/75/b7e91085-e421-4ec0-a51e-df3d58210b54.jpg
1266807,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/93/20/634b8e2a-b100-48ea-852a-f729a7b904b0.jpg
1436545,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/93/79/158bfe27-a898-4d5d-9283-f69096a60c7c.jpg
1277849,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/B3/5D/c1356b18-628e-43db-954c-064863da0145.jpg
1383351,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/04/14/b3b6f18a-9fdc-4eed-a169-68d566348b4a.jpg
1180318,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/8A/3C/1e38cf69-af26-479c-9a38-84adac32d007.jpeg
1358225,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/99/53/3397d4aa-193d-45a3-acab-0a5736a90b37.jpeg
1150132,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/4C/D4/8cf9d1ca-7a49-499e-af6e-3af503eac6c9.jpg
1310780,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C6/AD/d2fb0607-56a9-4c88-a357-79c5844ab1fc.jpeg
1140003,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/9B/2B/b422e92c-148b-42dc-90e0-cd9890c3a551.jpg
1167357,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/26/AD/418cbd9e-6ae2-4ddb-a445-7eca629129b6.jpg
1346315,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/84/68/f0745f03-b658-4960-b817-087694c93379.jpg
1300248,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F6/D0/0ed3399d-2b12-42ef-b189-fd764e4873e4.jpg
1299160,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/D4/67/b63cb529-84ae-4f2d-80a4-32ac3134c51a.jpg
1292264,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/BC/88/a445afa5-c249-4d8a-9c95-05e5857b3d84.jpg
1117572,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/69/1E/94f53d80-b56c-4044-9ee0-4c2d10bc9a44.png
1396045,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/12/76/30004010-b939-40af-91ff-b408d5b809dd.jpg
1277433,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/D1/0C/c7ed2df1-e91c-4f38-a35f-827f2f5de034.jpg
1350757,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/B4/4B/c72c0f44-16cb-460d-b547-372e57134cab.jpg
1294524,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C6/53/565a575f-1498-4eda-99c3-387a34d2f7e6.jpg
1253526,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/7F/16/d2b17693-9ef6-40cd-8f88-1745802580e8.JPG
1220974,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/59/88/cefacf76-78eb-4b4c-aae3-31022b583dc6.jpg
1202385,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/AE/0E/5c1e75ad-4adb-4b52-a748-ea2e4243fb0f.jpg
1316207,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/05/05/16de8349-3138-477c-95e9-c44e0cc3063a.jpg
1362863,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/E2/15/437d4d67-9057-485d-ae25-f6827179be5f.jpg
1397454,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/BB/5F/155bc8a0-624f-4ba5-8794-2d4313a5a070.jpg
1492974,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/51/96/3328a833-4a15-4b1d-8ad0-dde931e1a7ec.jpg
1281502,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/9E/C9/1f29d408-ca2a-4d86-bf13-bbb5a3fb8388.jpg
1242077,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/D1/15/d6a30a84-2d3a-4fa2-9bac-8498b79ffbac.jpg
1203799,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/49/02/1abaeb6d-f277-45d4-bc7a-fde6f7864cc8.jpg
1163613,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/C7/E9/5da3eb1b-1325-42df-8eab-53cd3e01c0fe.jpg
1150872,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/46/DD/f8f5bf0d-7dae-43b6-8a74-120c5cba8b5b.jpg
1132611,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/0B/BF/a5e212e3-dd7f-4ce5-be91-9abb598eb263.jpg
1099082,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/C5/2A/9f924fcd-cae0-4884-9b57-d0e525779a39.jpg
1279838,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/24/7A/9163288d-fb44-44a6-93bd-16fe96994a55.jpg
1384766,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/5D/79/39eab214-6170-4c8c-8105-de3d7f84ce00.jpg
1173613,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/18/8A/3c135df1-4e05-4106-9bdb-4a8644e3f0de.jpg
1298816,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C9/45/0c5ecc0c-b2c9-4f08-b9aa-275626743706.jpg
1137689,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/8D/D7/b759f912-1353-4cc5-99bf-f8f182da105b.jpg
1388253,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/EC/74/a4594268-92af-4f93-9fd8-6833539f2644.jpg
1311365,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/4C/2B/e55429bf-cc17-4c18-ad7d-7eb1f4eb9107.jpg
1260887,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/4D/EF/1d628876-8eaf-4b68-8a0a-1b152dbc5b17.jpg
1275041,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/21/7D/2fabab02-eb98-448a-99f2-3f7333141aad.jpg
